class,bare_soil
row,110
col,140
wavelength_nm,value
400.0,1.577e-05
401.32,1.4230000000000001e-05
402.64,9.22e-06
403.96,1.239e-05
405.27,1.639e-05
406.59,1.2280000000000001e-05
407.91,1.865e-05
409.23,7.439999999999999e-06
410.55,1.01e-05
411.87,1.3000000000000001e-05
413.19,9.3e-06
414.51,2.828e-05
415.82,1.305e-05
417.14,6.35e-06
418.46,5.63e-06
419.78,2.489e-05
421.1,2.1709999999999997e-05
422.42,1.206e-05
423.74,1.051e-05
425.05,8.069999999999999e-06
426.37,2.6479999999999997e-05
427.69,1.547e-05
429.01,1.908e-05
430.33,1.16e-05
431.65,1.085e-05
432.97,8.85e-06
434.29,1.6170000000000003e-05
435.6,2.829e-05
436.92,7.23e-06
438.24,1.3619999999999998e-05
439.56,1.207e-05
440.88,1.364e-05
442.2,1.7330000000000002e-05
443.52,5.66e-06
444.84,7.66e-06
446.15,1.596e-05
447.47,1.313e-05
448.79,2.968e-05
450.11,1.1020000000000001e-05
451.43,1.099e-05
452.75,1.123e-05
454.07,2.191e-05
455.38,2.6329999999999997e-05
456.7,1.419e-05
458.02,1.129e-05
459.34,6.3399999999999994e-06
460.66,2.668e-05
461.98,2.237e-05
463.3,1.59e-05
464.62,1.15e-05
465.93,6.19e-06
467.25,1.049e-05
468.57,1.577e-05
469.89,2.1890000000000002e-05
471.21,9.34e-06
472.53,1.2590000000000001e-05
473.85,1.007e-05
475.16,1.666e-05
476.48,1.461e-05
477.8,7.090000000000001e-06
479.12,1.27e-05
480.44,1.632e-05
481.76,1.3239999999999999e-05
483.08,1.634e-05
484.4,8.16e-06
485.71,1.037e-05
487.03,1.296e-05
488.35,1.305e-05
489.67,2.773e-05
490.99,1.238e-05
492.31,8.02e-06
493.63,6.78e-06
494.95,2.6119999999999997e-05
496.26,2.311e-05
497.58,1.536e-05
498.9,1.095e-05
500.22,4.53e-06
501.54,2.4429999999999998e-05
502.86,1.762e-05
504.18,1.887e-05
505.49,1.039e-05
506.81,9.15e-06
508.13,1.153e-05
509.45,1.39e-05
510.77,2.209e-05
512.09,6.49e-06
513.41,1.039e-05
514.73,1.007e-05
516.04,1.176e-05
517.36,1.376e-05
518.68,9.45e-06
520.0,7.059999999999999e-06
521.32,1.419e-05
522.64,1.163e-05
523.96,3.0220000000000002e-05
525.27,1.07e-05
526.59,8.51e-06
527.91,1.103e-05
529.23,2.3780000000000003e-05
530.55,2.6079999999999998e-05
531.87,1.253e-05
533.19,1.091e-05
534.51,7.18e-06
535.82,2.5430000000000002e-05
537.14,2.027e-05
538.46,1.3889999999999999e-05
539.78,1.278e-05
541.1,6.18e-06
542.42,1.134e-05
543.74,1.901e-05
545.05,2.5990000000000004e-05
546.37,5.93e-06
547.69,1.376e-05
549.01,1.2709999999999999e-05
550.33,1.6550000000000002e-05
551.65,1.439e-05
552.97,9.05e-06
554.29,1.057e-05
555.6,1.933e-05
556.92,1.2270000000000001e-05
558.24,1.705e-05
559.56,9.15e-06
560.88,8.949999999999999e-06
562.2,1.085e-05
563.52,1.31e-05
564.84,2.8599999999999997e-05
566.15,9.479999999999999e-06
567.47,9.16e-06
568.79,6.88e-06
570.11,2.61e-05
571.43,2.266e-05
572.75,1.3350000000000001e-05
574.07,1.26e-05
575.38,8.29e-06
576.7,2.613e-05
578.02,1.807e-05
579.34,1.923e-05
580.66,1.164e-05
581.98,1.122e-05
583.3,1.1050000000000001e-05
584.62,1.591e-05
585.93,2.491e-05
587.25,8.609999999999999e-06
588.57,1.053e-05
589.89,1.079e-05
591.21,1.2790000000000001e-05
592.53,1.043e-05
593.85,7.91e-06
595.16,7.26e-06
596.48,1.3569999999999999e-05
597.8,1.2939999999999998e-05
599.12,2.963e-05
600.44,1.452e-05
601.76,7.45e-06
603.08,3.63e-06
604.4,2.513e-05
605.71,2.6690000000000004e-05
607.03,6.09e-06
608.35,1.474e-05
609.67,4.82e-06
610.99,1.072e-05
612.31,2.076e-05
613.63,1.753e-05
614.95,6.2300000000000005e-06
616.26,4.56e-06
617.58,1.252e-05
618.9,8.98e-06
620.22,2.1e-05
621.54,6.98e-06
622.86,1.2640000000000001e-05
624.18,1.1700000000000001e-05
625.49,1.147e-05
626.81,1.307e-05
628.13,7.430000000000001e-06
629.45,5.62e-06
630.77,1.3239999999999999e-05
632.09,1.4829999999999999e-05
633.41,1.008e-05
634.73,9.22e-06
636.04,6.95e-06
637.36,6.840000000000001e-06
638.68,1.098e-05
640.0,2.865e-05
641.32,8.54e-06
642.64,7.54e-06
643.96,6.9400000000000005e-06
645.27,2.808e-05
646.59,2.4679999999999997e-05
647.91,1.5260000000000003e-05
649.23,1.205e-05
650.55,4.51e-06
651.87,9.23e-06
653.19,1.696e-05
654.51,1.705e-05
655.82,5.13e-06
657.14,1.207e-05
658.46,9.97e-06
659.78,1.187e-05
661.1,2.504e-05
662.42,9.16e-06
663.74,8.87e-06
665.05,9.06e-06
666.37,1.688e-05
667.69,8.15e-06
669.01,9.74e-06
670.33,1.442e-05
671.65,1.303e-05
672.97,9.460000000000001e-06
674.29,2.9149999999999997e-05
675.6,1.03e-05
676.92,6.8500000000000005e-06
678.24,5.23e-06
679.56,2.32e-05
680.88,2.5209999999999997e-05
682.2,9.329999999999999e-06
683.52,9.96e-06
684.84,3.09e-06
686.15,1.109e-05
687.47,2.32e-05
688.79,1.75e-05
690.11,8.11e-06
691.43,5.14e-06
692.75,1.184e-05
694.07,1.065e-05
695.38,2.202e-05
696.7,7.4700000000000005e-06
698.02,1.028e-05
699.34,1.0860000000000001e-05
700.66,1.167e-05
701.98,2.115e-05
703.3,7.670000000000001e-06
704.62,5.44e-06
705.93,1.58e-05
707.25,1.027e-05
708.57,7.51e-06
709.89,7.8e-06
711.21,8.37e-06
712.53,5.31e-06
713.85,1.307e-05
715.16,2.893e-05
716.48,5.48e-06
717.8,1.03e-05
719.12,7.07e-06
720.44,1.9520000000000003e-05
721.76,2.274e-05
723.08,1.217e-05
724.4,2.097e-05
725.71,3.79e-06
727.03,1.255e-05
728.35,2.212e-05
729.67,1.703e-05
730.99,6.08e-06
732.31,1.6539999999999997e-05
733.63,1.129e-05
734.95,7.6e-06
736.26,2.187e-05
737.58,9.9e-06
738.9,6.54e-06
740.22,9.289999999999999e-06
741.54,1.452e-05
742.86,5.22e-06
744.18,6.97e-06
745.49,6.3100000000000006e-06
746.81,1.542e-05
748.13,9.5e-06
749.45,2.7539999999999997e-05
750.77,1.8509999999999997e-05
752.09,1.032e-05
753.41,7.820000000000001e-06
754.73,1.772e-05
756.04,2.535e-05
757.36,6.279999999999999e-06
758.68,1.917e-05
760.0,7.149999999999999e-06
761.32,9.93e-06
762.64,2.101e-05
763.96,1.596e-05
765.27,6.35e-06
766.59,2.3699999999999998e-06
767.91,1.124e-05
769.23,1.1609999999999999e-05
770.55,2.089e-05
771.87,9.93e-06
773.19,2.332e-05
774.51,1.0209999999999999e-05
775.82,1.004e-05
777.14,1.6839999999999998e-05
778.46,8.19e-06
779.78,6.02e-06
781.1,1.544e-05
782.42,1.107e-05
783.74,7.02e-06
785.05,6.2e-06
786.37,1.182e-05
787.69,4.36e-06
789.01,1.375e-05
