class,forest
row,30
col,40
wavelength_nm,value
400.0,2.7910000000000002e-05
401.32,1.5129999999999999e-05
402.64,9.800000000000001e-06
403.96,7.46e-06
405.27,2.058e-05
406.59,2.7179999999999997e-05
407.91,8.04e-06
409.23,1.1050000000000001e-05
410.55,4.96e-06
411.87,1.0680000000000001e-05
413.19,1.9189999999999998e-05
414.51,1.017e-05
415.82,1.3189999999999999e-05
417.14,1.1360000000000001e-05
418.46,9.77e-06
419.78,1.7449999999999997e-05
421.1,1.158e-05
422.42,8.65e-06
423.74,6.719999999999999e-06
425.05,1.3170000000000001e-05
426.37,1.799e-05
427.69,1.3819999999999998e-05
429.01,6.02e-06
430.33,0.0
431.65,2.0510000000000002e-05
432.97,1.634e-05
434.29,2.7060000000000002e-05
435.6,7.5600000000000005e-06
436.92,8.949999999999999e-06
438.24,1.664e-05
439.56,1.489e-05
440.88,3.001e-05
442.2,1.045e-05
443.52,1.499e-05
444.84,7.879999999999999e-06
446.15,1.918e-05
447.47,3.0449999999999998e-05
448.79,9.77e-06
450.11,1.15e-05
451.43,4.55e-06
452.75,9.2e-06
454.07,2.038e-05
455.38,1.3270000000000002e-05
456.7,9.25e-06
458.02,1.114e-05
459.34,8.229999999999999e-06
460.66,1.963e-05
461.98,1.376e-05
463.3,6.4e-06
464.62,1.218e-05
465.93,2.393e-05
467.25,1.467e-05
468.57,1.222e-05
469.89,1.056e-05
471.21,8.740000000000001e-06
472.53,1.902e-05
473.85,1.3000000000000001e-05
475.16,2.774e-05
476.48,1.027e-05
477.8,9.110000000000001e-06
479.12,5.76e-06
480.44,2.05e-05
481.76,2.728e-05
483.08,1.22e-05
484.4,1.103e-05
485.71,7.589999999999999e-06
487.03,9.26e-06
488.35,2.022e-05
489.67,1.061e-05
490.99,8.85e-06
492.31,1.072e-05
493.63,1.179e-05
494.95,1.717e-05
496.26,1.175e-05
497.58,7.889999999999999e-06
498.9,1.0340000000000001e-05
500.22,7.090000000000001e-06
501.54,1.727e-05
502.86,1.2270000000000001e-05
504.18,7.870000000000001e-06
505.49,4.26e-06
506.81,1.806e-05
508.13,1.594e-05
509.45,2.5990000000000004e-05
510.77,1.081e-05
512.09,1.028e-05
513.41,1.592e-05
514.73,1.9750000000000002e-05
516.04,2.5230000000000004e-05
517.36,1.273e-05
518.68,1.457e-05
520.0,8.36e-06
521.32,2.053e-05
522.64,2.752e-05
523.96,9.84e-06
525.27,1.236e-05
526.59,6.95e-06
527.91,9.420000000000001e-06
529.23,1.772e-05
530.55,1.3039999999999999e-05
531.87,5.3e-06
533.19,1.022e-05
534.51,1.0009999999999999e-05
535.82,2.192e-05
537.14,1.166e-05
538.46,7.92e-06
539.78,1.124e-05
541.1,2.42e-05
542.42,1.4119999999999999e-05
543.74,1.307e-05
545.05,1.1020000000000001e-05
546.37,9.16e-06
547.69,1.755e-05
549.01,1.3589999999999999e-05
550.33,2.5879999999999996e-05
551.65,1.1050000000000001e-05
552.97,7.3999999999999995e-06
554.29,7.2900000000000005e-06
555.6,1.948e-05
556.92,3.0259999999999998e-05
558.24,9.91e-06
559.56,1.128e-05
560.88,5.66e-06
562.2,1.241e-05
563.52,2.139e-05
564.84,1.114e-05
566.15,8.25e-06
567.47,1.12e-05
568.79,8.22e-06
570.11,2.245e-05
571.43,1.1360000000000001e-05
572.75,1.018e-05
574.07,8.73e-06
575.38,1.039e-05
576.7,1.664e-05
578.02,1.449e-05
579.34,4.8e-06
580.66,9.1e-06
581.98,2.027e-05
583.3,1.391e-05
584.62,2.5779999999999997e-05
585.93,1.303e-05
587.25,1.077e-05
588.57,1.401e-05
589.89,1.624e-05
591.21,2.6629999999999997e-05
592.53,6.98e-06
593.85,8.68e-06
595.16,5.41e-06
596.48,1.0150000000000001e-05
597.8,2.943e-05
599.12,8.390000000000001e-06
600.44,8.13e-06
601.76,6.809999999999999e-06
603.08,1.137e-05
604.4,1.097e-05
605.71,1.079e-05
607.03,7.95e-06
608.35,1.316e-05
609.67,1.082e-05
610.99,2.044e-05
612.31,1.536e-05
613.63,8.3e-06
614.95,4.06e-06
616.26,2.24e-05
617.58,1.472e-05
618.9,9.56e-06
620.22,9.82e-06
621.54,1.116e-05
622.86,9.36e-06
624.18,1.59e-05
625.49,2.585e-05
626.81,8.35e-06
628.13,8.14e-06
629.45,8.459999999999999e-06
630.77,1.205e-05
632.09,2.862e-05
633.41,9.02e-06
634.73,1.3800000000000002e-05
636.04,8.18e-06
637.36,9.09e-06
638.68,2.129e-05
640.0,9.55e-06
641.32,6.1400000000000005e-06
642.64,1.221e-05
643.96,1.255e-05
645.27,7.84e-06
646.59,1.276e-05
647.91,9.15e-06
649.23,3.99e-06
650.55,1.152e-05
651.87,1.6459999999999998e-05
653.19,7.72e-06
654.51,8.419999999999999e-06
655.82,4.05e-06
657.14,8.06e-06
658.46,1.528e-05
659.78,2.531e-05
661.1,1.1930000000000001e-05
662.42,8.83e-06
663.74,6.44e-06
665.05,2.0039999999999998e-05
666.37,2.789e-05
667.69,6.1499999999999996e-06
669.01,1.19e-05
670.33,4.97e-06
671.65,1.0399999999999999e-05
672.97,2.655e-05
674.29,9.47e-06
675.6,7.98e-06
676.92,7.64e-06
678.24,9.94e-06
679.56,6.99e-06
680.88,1.613e-05
682.2,1.076e-05
683.52,1.0739999999999999e-05
684.84,1.2709999999999999e-05
686.15,1.918e-05
687.47,1.2740000000000002e-05
688.79,9.68e-06
690.11,1.8499999999999999e-06
691.43,2.165e-05
692.75,1.437e-05
694.07,9.02e-06
695.38,7.870000000000001e-06
696.7,9.79e-06
698.02,5.65e-06
699.34,1.311e-05
700.66,2.6300000000000002e-05
701.98,6.73e-06
703.3,9.02e-06
