class,green_area
row,55
col,130
wavelength_nm,value
400.0,7.42e-06
401.32,1.361e-05
402.64,1.027e-05
403.96,1.5779999999999998e-05
405.27,1.558e-05
406.59,7.64e-06
407.91,8.64e-06
409.23,2.056e-05
410.55,1.487e-05
411.87,1.563e-05
413.19,9.59e-06
414.51,8.81e-06
415.82,1.2790000000000001e-05
417.14,2.0189999999999998e-05
418.46,2.934e-05
419.78,1.2139999999999999e-05
421.1,8.75e-06
422.42,7.46e-06
423.74,2.026e-05
425.05,2.7239999999999997e-05
426.37,1.197e-05
427.69,9.72e-06
429.01,6.57e-06
430.33,9.829999999999999e-06
431.65,1.825e-05
432.97,1.595e-05
434.29,1.143e-05
435.6,1.4069999999999999e-05
436.92,9.859999999999999e-06
438.24,1.7100000000000002e-05
439.56,1.152e-05
440.88,7.090000000000001e-06
442.2,1.2740000000000002e-05
443.52,1.243e-05
444.84,1.517e-05
446.15,1.565e-05
447.47,7.889999999999999e-06
448.79,7.240000000000001e-06
450.11,1.475e-05
451.43,1.24e-05
452.75,2.9360000000000003e-05
454.07,9.289999999999999e-06
455.38,7.58e-06
456.7,4.63e-06
458.02,2.3860000000000002e-05
459.34,2.7289999999999998e-05
460.66,1.167e-05
461.98,1.2479999999999999e-05
463.3,4.27e-06
464.62,2.8120000000000002e-05
465.93,2.0549999999999998e-05
467.25,1.133e-05
468.57,1.152e-05
469.89,6.49e-06
471.21,1.2659999999999999e-05
472.53,1.613e-05
473.85,1.696e-05
475.16,5.83e-06
476.48,1.269e-05
477.8,1.066e-05
479.12,1.681e-05
480.44,1.175e-05
481.76,1.009e-05
483.08,9.13e-06
484.4,1.711e-05
485.71,1.4099999999999999e-05
487.03,1.2920000000000002e-05
488.35,8.580000000000001e-06
489.67,1.115e-05
490.99,1.4829999999999999e-05
492.31,1.994e-05
493.63,2.993e-05
494.95,1.012e-05
496.26,1.042e-05
497.58,7.01e-06
498.9,2.259e-05
500.22,2.6989999999999997e-05
501.54,1.037e-05
502.86,7.620000000000001e-06
504.18,6.39e-06
505.49,1.11e-05
506.81,1.859e-05
508.13,1.303e-05
509.45,9.94e-06
510.77,1.255e-05
512.09,1.12e-05
513.41,1.5720000000000002e-05
514.73,1.285e-05
516.04,7.57e-06
517.36,1.263e-05
518.68,9.990000000000001e-06
520.0,1.464e-05
521.32,1.545e-05
522.64,7.0300000000000005e-06
523.96,9.98e-06
525.27,1.897e-05
526.59,1.334e-05
527.91,2.834e-05
529.23,1.1210000000000001e-05
530.55,9.5e-06
531.87,6.6799999999999996e-06
533.19,2.1479999999999998e-05
534.51,2.774e-05
535.82,1.1930000000000001e-05
537.14,1.579e-05
538.46,4.31e-06
539.78,2.7660000000000003e-05
541.1,1.902e-05
542.42,1.461e-05
543.74,1.128e-05
545.05,7.2e-06
546.37,1.095e-05
547.69,1.5609999999999998e-05
549.01,1.5759999999999998e-05
550.33,9.52e-06
551.65,1.2280000000000001e-05
552.97,1.135e-05
554.29,1.489e-05
555.6,1.381e-05
556.92,9.420000000000001e-06
558.24,9.22e-06
559.56,1.5240000000000001e-05
560.88,1.579e-05
562.2,1.371e-05
563.52,1.229e-05
564.84,1.16e-05
566.15,1.337e-05
567.47,1.8990000000000003e-05
568.79,3.086e-05
570.11,1.396e-05
571.43,9.31e-06
572.75,7.61e-06
574.07,2.5659999999999998e-05
575.38,2.71e-05
576.7,1.0539999999999999e-05
578.02,1.098e-05
579.34,7.21e-06
580.66,1.4979999999999999e-05
581.98,1.799e-05
583.3,1.496e-05
584.62,9.110000000000001e-06
585.93,1.2460000000000001e-05
587.25,8.63e-06
588.57,1.734e-05
589.89,1.497e-05
591.21,7.96e-06
592.53,7.83e-06
593.85,1.0359999999999999e-05
595.16,1.2620000000000001e-05
596.48,8.09e-06
597.8,1.025e-05
599.12,8.14e-06
600.44,7.620000000000001e-06
601.76,1.3180000000000001e-05
603.08,2.5019999999999998e-05
604.4,1.2590000000000001e-05
605.71,9.15e-06
607.03,8e-06
608.35,1.932e-05
609.67,2.5779999999999997e-05
610.99,7.499999999999999e-06
612.31,1.4480000000000002e-05
613.63,7.430000000000001e-06
614.95,9.53e-06
616.26,2.146e-05
617.58,1.431e-05
618.9,6.64e-06
620.22,4.12e-06
621.54,1.299e-05
622.86,1.004e-05
624.18,1.732e-05
625.49,7.32e-06
626.81,5.77e-06
628.13,8.44e-06
629.45,1.4180000000000001e-05
630.77,1.4050000000000001e-05
632.09,5.2600000000000005e-06
633.41,1.141e-05
634.73,1.7979999999999997e-05
636.04,1.088e-05
637.36,7.78e-06
638.68,1.334e-05
640.0,9.760000000000001e-06
641.32,3.95e-06
642.64,1.859e-05
643.96,2.9599999999999998e-05
645.27,7.059999999999999e-06
646.59,6.8e-06
647.91,4.43e-06
649.23,8.69e-06
650.55,2.5240000000000002e-05
651.87,9.93e-06
653.19,5.84e-06
654.51,5.65e-06
655.82,1.073e-05
657.14,1.803e-05
658.46,1.4999999999999999e-05
