class,water
row,80
col,60
wavelength_nm,value
400.0,1.0549999999999999e-05
401.32,1.308e-05
402.64,8.16e-06
403.96,2.1190000000000002e-05
405.27,2.5450000000000002e-05
406.59,1.096e-05
407.91,1.158e-05
409.23,1.081e-05
410.55,1.3300000000000001e-05
411.87,1.844e-05
413.19,1.3569999999999999e-05
414.51,8.35e-06
415.82,9.760000000000001e-06
417.14,1.003e-05
418.46,1.915e-05
419.78,1.4590000000000001e-05
421.1,7.54e-06
422.42,6.900000000000001e-06
423.74,2.281e-05
425.05,1.877e-05
426.37,2.137e-05
427.69,1.2120000000000001e-05
429.01,9.91e-06
430.33,1.867e-05
431.65,1.6950000000000002e-05
432.97,2.867e-05
434.29,1.076e-05
435.6,1.2590000000000001e-05
436.92,2.13e-06
438.24,2.036e-05
439.56,2.757e-05
440.88,8.3e-06
442.2,9.52e-06
443.52,7.860000000000001e-06
444.84,1.148e-05
446.15,2.145e-05
447.47,1.169e-05
448.79,6.49e-06
450.11,1.1769999999999999e-05
451.43,1.064e-05
452.75,2.166e-05
454.07,1.408e-05
455.38,9.479999999999999e-06
456.7,1.3500000000000001e-05
458.02,2.473e-05
459.34,1.639e-05
460.66,1.3239999999999999e-05
461.98,1.3700000000000001e-05
463.3,6.8500000000000005e-06
464.62,1.742e-05
465.93,1.581e-05
467.25,2.5430000000000002e-05
468.57,1.213e-05
469.89,6.97e-06
471.21,6.8500000000000005e-06
472.53,1.7519999999999998e-05
473.85,2.88e-05
475.16,8.73e-06
476.48,8.13e-06
477.8,7.9e-06
479.12,2.26e-05
480.44,1.8990000000000003e-05
481.76,9.02e-06
483.08,9.97e-06
484.4,1.204e-05
485.71,1.039e-05
487.03,2.287e-05
488.35,1.0870000000000001e-05
489.67,9.02e-06
490.99,1.166e-05
492.31,1.2489999999999999e-05
493.63,1.8390000000000002e-05
494.95,1.175e-05
496.26,9.03e-06
497.58,6.0600000000000004e-06
498.9,2.138e-05
500.22,1.63e-05
501.54,2.3009999999999998e-05
502.86,1.048e-05
504.18,7.96e-06
505.49,1.683e-05
506.81,1.732e-05
508.13,2.614e-05
509.45,1.006e-05
510.77,1.338e-05
512.09,8.200000000000001e-06
513.41,2.118e-05
514.73,3.063e-05
516.04,8.98e-06
517.36,1.2939999999999998e-05
518.68,5.49e-06
520.0,1.147e-05
521.32,1.963e-05
522.64,1.285e-05
523.96,8.32e-06
525.27,1.137e-05
526.59,1.219e-05
527.91,2.1360000000000002e-05
529.23,1.393e-05
530.55,6.9400000000000005e-06
531.87,9.84e-06
533.19,2.56e-05
534.51,1.6630000000000002e-05
535.82,1.449e-05
537.14,1.404e-05
538.46,1.025e-05
539.78,2.048e-05
541.1,1.4729999999999998e-05
542.42,2.695e-05
543.74,1.03e-05
545.05,1.013e-05
546.37,7.98e-06
547.69,1.7330000000000002e-05
549.01,2.947e-05
550.33,9.79e-06
551.65,1.027e-05
552.97,5.76e-06
554.29,2.127e-05
555.6,2.0719999999999998e-05
556.92,1.1050000000000001e-05
558.24,1.134e-05
559.56,1.394e-05
560.88,9.37e-06
562.2,1.807e-05
563.52,9.78e-06
564.84,8.86e-06
566.15,1.26e-05
567.47,1.067e-05
568.79,1.894e-05
570.11,1.218e-05
571.43,9.5e-06
572.75,5.09e-06
574.07,2.234e-05
575.38,1.447e-05
576.7,2.497e-05
578.02,1.153e-05
579.34,9.17e-06
580.66,1.5929999999999998e-05
581.98,1.65e-05
583.3,2.9659999999999997e-05
584.62,1.024e-05
585.93,9.57e-06
587.25,3.59e-06
588.57,2.131e-05
589.89,3.04e-05
591.21,1.049e-05
592.53,5.510000000000001e-06
593.85,6.460000000000001e-06
595.16,1.016e-05
596.48,1.111e-05
597.8,1.229e-05
599.12,6.429999999999999e-06
600.44,1.4649999999999999e-05
601.76,1.039e-05
603.08,2.048e-05
604.4,1.1360000000000001e-05
605.71,5.7000000000000005e-06
607.03,6.61e-06
608.35,2.339e-05
609.67,1.581e-05
610.99,9.94e-06
612.31,1.044e-05
613.63,8.88e-06
614.95,6.64e-06
616.26,1.556e-05
617.58,2.917e-05
618.9,4.27e-06
620.22,9.5e-06
621.54,6.429999999999999e-06
622.86,9.35e-06
624.18,2.6939999999999996e-05
625.49,1.049e-05
626.81,1.004e-05
628.13,5.41e-06
629.45,9.74e-06
630.77,2.075e-05
632.09,8.59e-06
633.41,4.69e-06
634.73,1.135e-05
636.04,1.111e-05
637.36,1.168e-05
638.68,1.314e-05
640.0,8.57e-06
641.32,6.469999999999999e-06
642.64,1.0889999999999999e-05
643.96,1.8690000000000002e-05
645.27,4.09e-06
646.59,8.09e-06
647.91,3.6200000000000005e-06
649.23,8.45e-06
650.55,1.4729999999999998e-05
651.87,2.3539999999999998e-05
653.19,9.89e-06
654.51,7.72e-06
655.82,5.729999999999999e-06
657.14,1.765e-05
658.46,2.834e-05
659.78,8.45e-06
661.1,1.2970000000000001e-05
662.42,9.460000000000001e-06
663.74,1.084e-05
665.05,2.9239999999999998e-05
666.37,9.270000000000001e-06
667.69,4.5e-06
669.01,6.2e-06
670.33,1.143e-05
671.65,1.179e-05
672.97,1.048e-05
674.29,9.37e-06
675.6,1.004e-05
676.92,1.0929999999999999e-05
678.24,1.9719999999999998e-05
679.56,1.113e-05
680.88,8.18e-06
682.2,4.45e-06
683.52,2.352e-05
684.84,1.644e-05
686.15,7.83e-06
687.47,1.078e-05
688.79,9.92e-06
690.11,8.229999999999999e-06
691.43,1.09e-05
692.75,2.757e-05
694.07,5.67e-06
695.38,9.79e-06
696.7,6.48e-06
698.02,8.609999999999999e-06
699.34,2.6600000000000003e-05
700.66,1.085e-05
701.98,2.247e-05
703.3,6.38e-06
704.62,1.299e-05
705.93,2.131e-05
707.25,7.699999999999999e-06
708.57,6.25e-06
709.89,1.399e-05
711.21,1.117e-05
712.53,8.85e-06
713.85,1.792e-05
715.16,5.15e-06
716.48,8.7e-06
717.8,1.39e-05
719.12,1.891e-05
720.44,7.0300000000000005e-06
721.76,1.046e-05
723.08,5.74e-06
724.4,9.93e-06
725.71,1.7199999999999998e-05
727.03,2.499e-05
728.35,2.141e-05
729.67,7.17e-06
730.99,5.55e-06
732.31,1.912e-05
733.63,2.6150000000000002e-05
734.95,8.65e-06
736.26,2.306e-05
737.58,7.37e-06
738.9,8.550000000000001e-06
740.22,2.8699999999999996e-05
741.54,1.122e-05
742.86,5.13e-06
744.18,4.6e-06
745.49,1.107e-05
746.81,9.98e-06
748.13,1.088e-05
749.45,7.1e-06
750.77,1.51e-05
752.09,1.138e-05
753.41,2.197e-05
754.73,2.025e-05
756.04,8.22e-06
757.36,5.0099999999999995e-06
758.68,1.712e-05
760.0,1.62e-05
761.32,9.15e-06
762.64,2.0189999999999998e-05
763.96,1.147e-05
765.27,7.96e-06
766.59,1.186e-05
767.91,2.8270000000000002e-05
769.23,6.619999999999999e-06
770.55,7.729999999999999e-06
771.87,3.8499999999999996e-06
773.19,1.178e-05
774.51,2.8689999999999998e-05
775.82,7.83e-06
777.14,2.344e-05
778.46,5.850000000000001e-06
779.78,1.158e-05
781.1,2.177e-05
782.42,8.799999999999999e-06
783.74,6.809999999999999e-06
785.05,1.4649999999999999e-05
786.37,1.037e-05
787.69,6.49e-06
789.01,1.877e-05
790.33,7.340000000000001e-06
791.65,2.43e-06
792.97,1.201e-05
794.29,1.754e-05
795.6,6.370000000000001e-06
796.92,9.1e-06
798.24,6.54e-06
799.56,7.83e-06
800.88,1.4180000000000001e-05
802.2,2.063e-05
803.52,1.8809999999999998e-05
804.84,8.36e-06
806.15,9.78e-06
807.47,1.969e-05
808.79,2.6229999999999998e-05
810.11,7.17e-06
811.43,2.266e-05
812.75,5.88e-06
814.07,9.800000000000001e-06
815.38,2.7760000000000002e-05
816.7,1.176e-05
818.02,1.019e-05
819.34,9.15e-06
820.66,1.152e-05
821.98,9.1e-06
823.3,1.3180000000000001e-05
824.62,6.4e-06
825.93,1.5120000000000001e-05
827.25,1.115e-05
828.57,2.1099999999999998e-05
829.89,2.168e-05
831.21,8.67e-06
832.53,4.36e-06
833.85,1.74e-05
835.16,1.59e-05
836.48,6e-06
837.8,1.874e-05
839.12,1.348e-05
840.44,6.78e-06
841.76,1.519e-05
843.08,2.462e-05
844.4,6.6799999999999996e-06
845.71,9.34e-06
847.03,5.05e-06
848.35,9.6e-06
849.67,2.838e-05
850.99,7.5600000000000005e-06
852.31,2.238e-05
853.63,6.6e-06
854.95,1.873e-05
856.26,1.873e-05
857.58,9.36e-06
858.9,2.107e-05
860.22,1.2790000000000001e-05
861.54,1.094e-05
862.86,2.291e-05
864.18,1.979e-05
865.49,6.57e-06
866.81,1.351e-05
868.13,9.21e-06
869.45,1.7310000000000002e-05
870.77,1.8920000000000002e-05
872.09,6.9599999999999994e-06
873.41,5.369999999999999e-06
874.73,1.653e-05
876.04,1.529e-05
877.36,2.313e-05
878.68,1.852e-05
880.0,6.710000000000001e-06
881.32,1.7979999999999997e-05
882.64,1.981e-05
883.96,2.614e-05
885.27,1.954e-05
886.59,2.025e-05
887.91,8.57e-06
889.23,1.924e-05
890.55,2.8899999999999998e-05
891.87,9.25e-06
893.19,1.92e-05
894.51,7.3899999999999995e-06
895.82,1.3150000000000001e-05
897.14,1.909e-05
898.46,8.43e-06
899.78,7.5600000000000005e-06
901.1,1.586e-05
902.42,9.45e-06
903.74,2.1360000000000002e-05
905.05,1.978e-05
906.37,8.06e-06
907.69,1.376e-05
909.01,1.732e-05
910.33,1.824e-05
911.65,2.296e-05
912.97,1.584e-05
914.29,9.26e-06
915.6,1.6420000000000002e-05
916.92,1.497e-05
918.24,2.7479999999999998e-05
919.56,1.841e-05
920.88,8.400000000000001e-06
922.2,6.270000000000001e-06
923.52,1.882e-05
924.84,2.691e-05
926.15,8.400000000000001e-06
927.47,2.317e-05
928.79,8.890000000000001e-06
930.11,1.973e-05
931.43,2.243e-05
932.75,8.32e-06
934.07,1.771e-05
935.38,1.5779999999999998e-05
936.7,1.081e-05
938.02,2.258e-05
939.34,2.099e-05
940.66,1.191e-05
941.98,1.1799999999999999e-05
943.3,1.187e-05
944.62,1.932e-05
945.93,1.874e-05
947.25,8.87e-06
948.57,5.03e-06
949.89,1.665e-05
951.21,1.6400000000000002e-05
952.53,2.425e-05
953.85,1.868e-05
955.16,1.062e-05
956.48,1.527e-05
957.8,1.9070000000000002e-05
959.12,2.726e-05
960.44,1.985e-05
961.76,2.074e-05
963.08,7.08e-06
964.4,1.779e-05
965.71,2.9049999999999998e-05
967.03,1.07e-05
968.35,2.0569999999999998e-05
969.67,7.76e-06
970.99,1.522e-05
972.31,2.071e-05
973.63,1.09e-05
974.95,4.59e-06
976.26,1.4530000000000001e-05
977.58,9.58e-06
978.9,2.389e-05
980.22,2.056e-05
981.54,6.8e-06
982.86,1.725e-05
984.18,1.837e-05
985.49,1.768e-05
986.81,1.928e-05
988.13,1.8160000000000002e-05
989.45,1.076e-05
990.77,1.628e-05
992.09,1.148e-05
993.41,2.889e-05
994.73,1.877e-05
996.04,7.2900000000000005e-06
